name,datetime_first,datetime_last
Abu Dhabi,2019-11-25T17:00:00+00:00,2023-06-07T17:00:00+00:00
CITEDEF,2016-01-01T03:00:00+00:00,2017-01-23T15:00:00+00:00
CSIR,2016-02-14T08:00:00+00:00,2021-12-04T13:00:00+00:00
Downsview,2017-07-12T09:00:00+00:00,2019-09-05T11:00:00+00:00
Halifax,2017-07-31T10:00:00+00:00,2022-04-06T14:00:00+00:00
Kanpur,2019-10-21T13:00:00+00:00,2019-11-25T13:00:00+00:00
Ilorin University,2019-04-26T08:00:00+00:00,2020-10-13T02:00:00+00:00
Bandung,2016-08-01T17:00:00+00:00,2018-01-29T10:00:00+00:00
Kelowna,2018-03-16T09:00:00+00:00,2019-11-14T09:00:00+00:00
Lethbridge,2017-08-30T16:00:00+00:00,2019-05-14T15:00:00+00:00
Melbourne,2022-08-09T09:00:00+00:00,2023-06-19T17:00:00+00:00
Mexico City,2021-02-26T09:00:00+00:00,2023-05-31T11:00:00+00:00
Singapore,2016-04-05T09:00:00+00:00,2020-01-28T18:00:00+00:00
Seoul,2020-10-12T06:00:00+00:00,2021-03-16T03:00:00+00:00
Sherbrooke,2017-06-28T07:00:00+00:00,2023-06-16T10:00:00+00:00
Tsinghua University,2016-01-01T01:00:00+00:00,2022-06-12T20:00:00+00:00
Ulsan,2021-10-28T09:00:00+00:00,2023-01-06T13:00:00+00:00
Hanoi,2019-11-28T03:00:00+00:00,2020-06-23T14:00:00+00:00
Rehovot,2016-01-01T01:00:00+00:00,2021-11-19T09:00:00+00:00
