name,datetime_first,datetime_last
Abu Dhabi,2019-11-25 21:00:00+00:00,2023-06-07 21:00:00+00:00
Buenos Aires,2016-01-01 00:00:00+00:00,2017-01-23 12:00:00+00:00
Pretoria,2016-02-14 10:00:00+00:00,2021-12-04 15:00:00+00:00
Downsview,2017-07-12 05:00:00+00:00,2019-09-05 07:00:00+00:00
Halifax,2017-07-31 07:00:00+00:00,2022-04-06 11:00:00+00:00
Kanpur,2019-10-21 18:30:00+00:00,2019-11-25 18:30:00+00:00
Ilorin,2019-04-26 09:00:00+00:00,2020-10-13 03:00:00+00:00
Bandung,2016-08-02 00:00:00+00:00,2018-01-29 17:00:00+00:00
Kelowna,2018-03-16 02:00:00+00:00,2019-11-14 02:00:00+00:00
Lethbridge,2017-08-30 10:00:00+00:00,2019-05-14 09:00:00+00:00
Melbourne,2022-08-09 20:00:00+00:00,2023-06-20 04:00:00+00:00
Mexico City,2021-02-26 04:00:00+00:00,2023-05-31 06:00:00+00:00
Singapore,2016-04-05 17:00:00+00:00,2020-01-29 02:00:00+00:00
Seoul,2020-10-12 15:00:00+00:00,2021-03-16 12:00:00+00:00
Sherbrooke,2017-06-28 03:00:00+00:00,2023-06-16 06:00:00+00:00
Beijing,2016-01-01 09:00:00+00:00,2022-06-13 04:00:00+00:00
Ulsan,2021-10-28 18:00:00+00:00,2023-01-06 22:00:00+00:00
Hanoi,2019-11-28 10:00:00+00:00,2020-06-23 21:00:00+00:00
Rehovot,2016-01-01 04:00:00+00:00,2021-11-19 12:00:00+00:00
